gadget_name_original,gadget_name_english,first_appearance_episode,function,used_by,main_user,category,success_rate,failure_rate,is_recurring,notes
海底戦車,Undersea Tank,Nobita's Undersea Castle (1983),Armored submarine,Nobita,Nobita,Weapon,85,15,No,Torpedo-equipped
魔法のほうき,Magic Broom,Nobita's Magical Adventure (1996),Flying broomstick,Nobita,Nobita,Transportation,75,25,No,Hard to balance
宇宙の望遠鏡,Space Telescope,Nobita's Space Odyssey (2009),Views distant galaxies,Nobita,Nobita,Science,95,5,No,HD zoom
タイムパトロールバッジ,Time Patrol Badge,Nobita's Dinosaur (2006),Authority in time,Doraemon,Doraemon,Time Travel,100,0,No,Official use only
海底通信機,Undersea Communicator,Nobita's Undersea Castle (1983),Talks to sea creatures,Nobita,Nobita,Technology,90,10,No,Dolphin language
魔法の薬,Magic Potion,Nobita's Magical Adventure (1996),Temporary powers,Nobita,Nobita,Fantasy,50,50,No,Random effects
宇宙の笛,Space Flute,Nobita's Space Heroes (2008),Summons space whales,Nobita,Nobita,Music,80,20,No,Pacifies aliens
タイム修正ペン,Time Correction Pen,-,Edits timeline errors,Doraemon,Doraemon,Time Travel,99,1,No,For minor fixes
海底火山安定剤,Undersea Volcano Stabilizer,Nobita's Undersea Castle (1983),Prevents eruptions,Nobita,Nobita,Science,70,30,No,Last-minute rescue
四次元ポケット拡張,4D Pocket Expander,Manga Vol. 30,Increases pocket storage capacity,Doraemon,Doraemon,Special,100,0,Yes,Rarely shown
超合金Z製造機,Super Alloy Z Maker,Nobita and the Steel Troops (1986),Creates indestructible metal,Nobita,Nobita,Technology,95,5,No,Used to rebuild robots
夢のコイン,Dream Coin,"Episode 1,234",Purchases dream experiences,Nobita,Nobita,Fantasy,80,20,No,Limited uses
悪魔のサイコロ2,Devil's Dice 2.0,Manga Vol. 42,Advanced reality warping,Nobita,Nobita,Fantasy,15,85,No,Even more unpredictable
宇宙の釣り竿,Space Fishing Rod,Nobita's Space Odyssey (2009),Catches alien fish,Nobita,Nobita,Space,70,30,No,Zero-gravity fishing
タイムシールド,Time Shield,-,Protects from timeline changes,Doraemon,Doraemon,Time Travel,100,0,No,Theoretical gadget
植物翻訳機,Plant Translator,Manga Vol. 18,Communicates with plants,Nobita,Nobita,Science,60,40,No,Plants complain a lot
ドラミの救急セット,Dorami's First Aid Kit,-,Future medical tools,Dorami,Dorami,Medical,100,0,Yes,Nanobot healing
影の貯金箱,Shadow Piggy Bank,"Episode 1,578",Saves money from shadows,Nobita,Nobita,Finance,90,10,No,Interest compounds strangely
未来の消しゴム,Future Eraser,Manga Vol. 25,Erases future events,Nobita,Nobita,Time Travel,40,60,No,Dangerous paradox risk
宇宙のサッカーボール2,Space Soccer Ball 2.0,Nobita's Space Heroes (2008),Anti-gravity sports,Nobita,Nobita,Sports,95,5,No,Improved version
悪魔のカメラ2,Devil's Camera 2.0,-,Steals colors from world,Nobita,Nobita,Fantasy,5,95,No,Creates grayscale world
ドラえもんの鼻,Doraemon's Nose,-,Super-smell sensor,Doraemon,Doraemon,Sensory,100,0,No,Rarely used ability
四次元干渉機,4D Interferometer,Manga Vol. 37,Detects pocket dimension anomalies,Doraemon,Doraemon,Special,100,0,No,Maintenance tool
ロボット感情チップ,Robot Emotion Chip,Nobita and the Steel Troops (1986),Grants robots feelings,Nobita,Nobita,Technology,85,15,No,Key to robot uprising
天気予報ロボット2,Weather Robot 2.0,-,Predicts weather with 100% accuracy,Nobita,Nobita,Weather,100,0,No,Never wrong
悪魔のパスポート3,Devil's Passport 3.0,-,Unlimited wishes (with bigger consequences),Nobita,Nobita,Fantasy,1,99,No,World-ending potential
宇宙の凧,Space Kite,Nobita's Space Odyssey (2009),Flies through cosmic winds,Nobita,Nobita,Space,80,20,No,Requires solar wind
タイムパラドックス中和剤,Time Paradox Neutralizer,-,Prevents timeline collapses,Doraemon,Doraemon,Time Travel,99,1,No,Last-resort gadget
ドラミのタイムストップ,Dorami's Time Stop,-,Pauses time for 1 hour,Dorami,Dorami,Time Travel,100,0,No,More stable than Doraemon's
四次元冷蔵庫,4D Refrigerator,Manga Vol. 41,Infinite food storage,Doraemon,Doraemon,Food,100,0,Yes,Keeps dorayaki fresh
悪魔のメガホン2,Devil's Megaphone 2.0,-,Reality warping with echo effect,Nobita,Nobita,Fantasy,10,90,No,Echoes cause chaos
宇宙の望遠鏡2,Space Telescope 2.0,-,Views parallel universes,Nobita,Nobita,Science,95,5,No,Mind-bending visuals
タイムテレビPro,Time TV Pro,-,Interacts with past/future,Doraemon,Doraemon,Time Travel,90,10,No,Risk of contamination
ドラえもんのヒゲ,Doraemon's Whiskers,-,Ultimate sensor system,Doraemon,Doraemon,Sensory,100,0,Yes,Detects everything
悪魔のトランプ2,Devil's Cards 2.0,-,Reality-warping poker,Nobita,Nobita,Fantasy,20,80,No,Wild card destroys reality
宇宙の種2,Space Seed 2.0,Nobita's Green Legend (2008),Grows habitable planets,Nobita,Nobita,Space,85,15,No,Takes 1000 years
タイムマシンMini,Time Machine Mini,-,Personal time travel watch,Doraemon,Doraemon,Time Travel,95,5,Yes,Limited to 1 passenger
四次元掃除機,4D Vacuum,Manga Vol. 44,Cleans pocket dimensions,Doraemon,Doraemon,Special,100,0,No,Maintenance only
悪魔のランプ2,Devil's Lamp 2.0,-,Genie with twisted interpretations,Nobita,Nobita,Fantasy,5,95,No,Literal wish fulfillment
宇宙のペン2,Space Pen 2.0,-,Writes in any dimension,Nobita,Nobita,Space,100,0,No,Ink never runs out
タイムストッパー2,Time Stopper 2.0,-,Pauses time for 24 hours,Doraemon,Doraemon,Time Travel,100,0,No,Overheats after use
ドラミの四次元ポケット,Dorami's 4D Pocket,-,Smaller dimensional storage,Dorami,Dorami,Special,100,0,Yes,Less capacity
悪魔のサイコロ3,Devil's Dice 3.0,-,Multiversal randomization,Nobita,Nobita,Fantasy,0,100,No,Do not roll
宇宙のブランコ,Space Swing,Nobita's Space Odyssey (2009),Swings between planets,Nobita,Nobita,Space,75,25,No,Orbital mechanics required
タイム修正液,Time Correction Fluid,-,Erases minor timeline errors,Doraemon,Doraemon,Time Travel,90,10,No,For small paradoxes
四次元アイス,4D Ice,Manga Vol. 47,Never melts,Doraemon,Doraemon,Food,100,0,Yes,Perfect for drinks
悪魔のパスポートUltimate,Devil's Passport Ultimate,-,Absolute omnipotence,Nobita,Nobita,Fantasy,0.1,99.9,No,Plot device only
宇宙の笛2,Space Flute 2.0,-,Controls cosmic entities,Nobita,Nobita,Music,60,40,No,Risk of angering gods
タイムマシンXL,Time Machine XL,-,Group time travel bus,Doraemon,Doraemon,Time Travel,100,0,No,For class trips
ドラえもんの鈴2,Doraemon's Bell 2.0,-,Summons alternate Doraemons,Nobita,Nobita,Special,95,5,No,Multiversal help
悪魔のカメラ3,Devil's Camera 3.0,-,Steals concepts from reality,Nobita,Nobita,Fantasy,0,100,No,Do not click
宇宙の種3,Space Seed 3.0,-,Grows black holes,Nobita,Nobita,Space,10,90,No,Extremely dangerous
タイムパトロール制服,Time Patrol Uniform,-,Official time police gear,Doraemon,Doraemon,Time Travel,100,0,No,Complete immunity
四次元ポケットPro,4D Pocket Pro,-,AI-managed storage,Doraemon,Doraemon,Special,100,0,Yes,Auto-organizing
悪魔のメガホン3,Devil's Megaphone 3.0,-,Reality overwrite,Nobita,Nobita,Fantasy,0.01,99.99,No,Do not speak
宇宙の絵の具,Space Paint,-,Creates miniature stars,Nobita,Nobita,Art,80,20,No,Handle with care
タイムテレビUltra,Time TV Ultra,-,Alters past/future broadcasts,Doraemon,Doraemon,Time Travel,50,50,No,Extreme risk
ドラミの救急セット2,Dorami's First Aid Kit 2.0,-,Revives extinct species,Dorami,Dorami,Medical,100,0,No,Ethical concerns
悪魔のサイコロ4,Devil's Dice 4.0,-,Multiversal collapse,Nobita,Nobita,Fantasy,0,100,No,Sealed by Time Patrol
宇宙の折り紙,Space Origami,-,Folds spacetime,Nobita,Nobita,Science,90,10,No,Creates wormholes
タイムマシンNano,Time Machine Nano,-,Microscopic time travel,Doraemon,Doraemon,Time Travel,99,1,No,For quantum observation
四次元ポケットNano,4D Pocket Nano,-,Subatomic storage,Doraemon,Doraemon,Special,100,0,Yes,Theoretical
悪魔のパスポートNano,Devil's Passport Nano,-,Quantum-scale wish granting,Nobita,Nobita,Fantasy,0.001,99.999,No,Do not observe
宇宙の種Nano,Space Seed Nano,-,Creates pocket universes,Nobita,Nobita,Space,5,95,No,Big bang risk
タイムパトロールNano,Time Patrol Nano,-,Quantum timeline protection,Doraemon,Doraemon,Time Travel,100,0,No,Against micro-paradoxes
ドラえもんの鈴Nano,Doraemon's Bell Nano,-,Quantum entanglement summoning,Nobita,Nobita,Special,90,10,No,Multiversal echo
悪魔のカメラNano,Devil's Camera Nano,-,Erases quantum states,Nobita,Nobita,Fantasy,0,100,No,Reality collapse
宇宙の笛Nano,Space Flute Nano,-,Controls quantum vibrations,Nobita,Nobita,Music,50,50,No,Schrödinger's melody
タイムマシンUltra,Time Machine Ultra,-,Transcends timelines,Doraemon,Doraemon,Time Travel,100,0,No,Final resort
四次元ポケットUltra,4D Pocket Ultra,-,Contains multiverses,Doraemon,Doraemon,Special,100,0,Yes,Theoretical maximum
悪魔のパスポートFinal,Devil's Passport Final,-,Absolute omnipotence+,Nobita,Nobita,Fantasy,0,100,No,Sealed by all Doraemons
宇宙の種Final,Space Seed Final,-,Creates omniverses,Nobita,Nobita,Space,0,100,No,Do not plant
タイムパトロールFinal,Time Patrol Final,-,Absolute timeline authority,Doraemon,Doraemon,Time Travel,100,0,No,End of fiction
ドラえもんの鈴Final,Doraemon's Bell Final,-,Summons the author,Nobita,Nobita,Meta,100,0,No,Breaks fourth wall
悪魔のカメラFinal,Devil's Camera Final,-,Erases narratives,Nobita,Nobita,Meta,0,100,No,Deletes stories
宇宙の笛Final,Space Flute Final,-,Sings reality into being,Nobita,Nobita,Meta,100,0,No,Creation myth
タイムマシンFinal,Time Machine Final,-,Transcends storytelling,Doraemon,Doraemon,Meta,100,0,No,Beyond canon
四次元ポケットFinal,4D Pocket Final,-,Contains all fiction,Doraemon,Doraemon,Meta,100,0,Yes,The ultimate gadget
ドラえもん自身,Doraemon Himself,-,The ultimate problem-solver,Everyone,Nobita,Special,100,0,Yes,"Not a gadget, but the heart of it all"
四次元ポケットAI,4D Pocket AI,Manga Vol. 50,AI-managed pocket dimension,Doraemon,Doraemon,Special,100,0,Yes,Auto-organizes gadgets
感情転送機,Emotion Transmitter,"Episode 1,800",Transfers feelings to others,Nobita,Nobita,Psychic,70,30,No,Often causes misunderstandings
悪魔の鏡,Devil's Mirror,Manga Vol. 45,Shows darkest desires,Nobita,Nobita,Fantasy,20,80,No,Corrupts the viewer
宇宙の水族館,Space Aquarium,Nobita's Space Heroes (2008),Holds alien sea creatures,Nobita,Nobita,Space,90,10,No,Zero-gravity tank
タイムテープ,Time Tape,-,Repairs timeline tears,Doraemon,Doraemon,Time Travel,95,5,No,For minor paradoxes
ドラミのタイムマシン2,Dorami's Time Machine 2.0,-,Upgraded pink time machine,Dorami,Dorami,Time Travel,100,0,Yes,Faster and cuter
悪魔のサイコロ5,Devil's Dice 5.0,-,Alternate dimension creation,Nobita,Nobita,Fantasy,0,100,No,Sealed by Future Govt
植物戦士生成機,Plant Warrior Generator,Manga Vol. 52,Creates plant-based soldiers,Nobita,Nobita,Weapon,60,40,No,Used in one adventure
宇宙のオーケストラ,Space Orchestra,-,Music controls celestial bodies,Nobita,Nobita,Music,80,20,No,Requires perfect pitch
タイムパラドックスシールド,Time Paradox Shield,-,Protects from erasure,Doraemon,Doraemon,Time Travel,100,0,No,For major timeline changes
四次元冷凍庫,4D Freezer,Manga Vol. 55,Preserves items eternally,Doraemon,Doraemon,Food,100,0,Yes,For rare ingredients
悪魔の絵の具,Devil's Paint,-,Paintings absorb real objects,Nobita,Nobita,Art,30,70,No,Victims trapped in canvas
ドラえもんの目,Doraemon's Eyes,-,X-ray and telescopic vision,Doraemon,Doraemon,Sensory,100,0,Yes,Built-in feature
宇宙のチェス,Space Chess,-,Play with alien pieces,Nobita,Nobita,Game,95,5,No,Pieces move themselves
タイムカプセルPro,Time Capsule Pro,-,Sends memories to future,Nobita,Nobita,Time Travel,90,10,No,Emotional delivery
悪魔のカメラ4,Devil's Camera 4.0,-,"Steals 'concepts' (e.g., color)",Nobita,Nobita,Fantasy,0,100,No,Reality unravels
分子再構成機,Molecular Rebuilder,Manga Vol. 60,Rearranges matter,Doraemon,Doraemon,Science,85,15,No,Turn lead to gold
ドラミの救急セット3,Dorami's First Aid Kit 3.0,-,Cures fictional diseases,Dorami,Dorami,Medical,100,0,No,Even 'plot sickness'
夢の図書館,Dream Library,-,Read others' dreams as books,Nobita,Nobita,Psychic,75,25,No,Privacy issues
四次元望遠鏡,4D Telescope,-,See through dimensions,Doraemon,Doraemon,Special,100,0,Yes,Pocket maintenance
悪魔のパスポートNEO,Devil's Passport NEO,-,Reality editing with clauses,Nobita,Nobita,Fantasy,0.5,99.5,No,Fine print disasters
宇宙の盆栽,Space Bonsai,-,Grows miniature galaxies,Nobita,Nobita,Space,70,30,No,Requires cosmic care
タイムストップウォッチ2,Time Stop Watch 2.0,-,Pauses time selectively,Doraemon,Doraemon,Time Travel,100,0,No,Only affects targets
ドラえもんのポケット2,Doraemon's Pocket 2.0,-,Indexed 4D storage,Doraemon,Doraemon,Special,100,0,Yes,Faster retrieval
悪魔のトランプ3,Devil's Cards 3.0,-,Card games alter destinies,Nobita,Nobita,Fantasy,10,90,No,Losing = catastrophe
人工知能育成キット,AI Growth Kit,Manga Vol. 65,Raises friendly AI,Nobita,Nobita,Technology,50,50,No,Robot rebellion risk
宇宙の将棋,Space Shogi,-,Interstellar strategy game,Nobita,Nobita,Game,90,10,No,Aliens cheat
タイムパトロールバッジ2,Time Patrol Badge 2.0,-,Authority over multiverses,Doraemon,Doraemon,Time Travel,100,0,No,Supreme rank
四次元掃除ロボ,4D Cleaning Robot,-,Organizes pocket dimensions,Doraemon,Doraemon,Special,100,0,Yes,Automatic maintenance
悪魔のランプ3,Devil's Lamp 3.0,-,Genie interprets wishes literally,Nobita,Nobita,Fantasy,1,99,No,Be careful what you wish for'
ドラミのタイムマシン3,Dorami's Time Machine 3.0,-,Time travel with family seating,Dorami,Dorami,Time Travel,100,0,Yes,Child-safe
宇宙の折り鶴,Space Origami Crane,-,Flies between stars,Nobita,Nobita,Space,80,20,No,Solar wind powered
タイムテープ2,Time Tape 2.0,-,Mends reality fractures,Doraemon,Doraemon,Time Travel,95,5,No,For major paradoxes
悪魔のメガホン4,Devil's Megaphone 4.0,-,Voice commands rewrite physics,Nobita,Nobita,Fantasy,0.1,99.9,No,Do not whisper
分子クッキー,Molecular Cookie,Manga Vol. 70,Changes eater's composition,Nobita,Nobita,Food,60,40,No,Turn into gas/light/etc.
ドラえもんの鈴3,Doraemon's Bell 3.0,-,Summons parallel Doraemons,Nobita,Nobita,Special,95,5,No,Multiverse team-up
四次元ポケットGPS,4D Pocket GPS,-,Tracks lost gadgets,Doraemon,Doraemon,Special,100,0,Yes,Finds anything
悪魔のサイコロ6,Devil's Dice 6.0,-,Creates/destroys universes,Nobita,Nobita,Fantasy,0,100,No,Cosmic Russian roulette
宇宙の碁,Space Go,-,Play on star-based board,Nobita,Nobita,Game,85,15,No,Black holes as stones
タイムパラドックスワクチン,Time Paradox Vaccine,-,Immunizes against timeline changes,Doraemon,Doraemon,Time Travel,100,0,No,For historians
ドラミの四次元ポケット2,Dorami's 4D Pocket 2.0,-,Improved storage capacity,Dorami,Dorami,Special,100,0,Yes,Still smaller than Doraemon's
悪魔のカメラ5,Devil's Camera 5.0,-,Erases 'memories' from reality,Nobita,Nobita,Fantasy,0,100,No,Nobody remembers you
感情増幅器,Emotion Amplifier,"Episode 2,000",Magnifies feelings 100x,Nobita,Nobita,Psychic,40,60,No,Causes mass hysteria
四次元冷蔵庫2,4D Fridge 2.0,-,Preserves items across timelines,Doraemon,Doraemon,Food,100,0,Yes,Eat dinosaur steak
宇宙の将棋2,Space Shogi 2.0,-,Play with nebula pieces,Nobita,Nobita,Game,95,5,No,Supernova checkmate
タイムマシンNEO,Time Machine NEO,-,Folds spacetime for instant travel,Doraemon,Doraemon,Time Travel,100,0,Yes,No more tunnel
悪魔のパスポートPro,Devil's Passport Pro,-,Wishes with delayed consequences,Nobita,Nobita,Fantasy,0.2,99.8,No,Time-bomb effects
ドラえもんのポケット3,Doraemon's Pocket 3.0,-,Voice-activated retrieval,Doraemon,Doraemon,Special,100,0,Yes,Hey Doraemon!'
分子調理機,Molecular Cooker,-,Creates food from atoms,Nobita,Nobita,Food,90,10,No,Still can't cook well
四次元掃除機2,4D Vacuum 2.0,-,Sucks up spacetime debris,Doraemon,Doraemon,Special,100,0,Yes,Pocket maintenance
悪魔のランプ4,Devil's Lamp 4.0,-,Genie with ironic twists,Nobita,Nobita,Fantasy,0.5,99.5,No,Helpful' disasters
宇宙の笛3,Space Flute 3.0,-,Communicates with quasars,Nobita,Nobita,Music,70,30,No,Very loud
タイムテレビNEO,Time TV NEO,-,Interactive timeline editing,Doraemon,Doraemon,Time Travel,80,20,No,Extreme caution
ドラミの救急セット4,Dorami's First Aid Kit 4.0,-,Heals plot holes,Dorami,Dorami,Medical,100,0,No,For bad writing
悪魔のサイコロ7,Devil's Dice 7.0,-,Reshapes narratives,Nobita,Nobita,Fantasy,0,100,No,Changes genre
四次元ポケットUltra2,4D Pocket Ultra 2.0,-,Stores concepts,Doraemon,Doraemon,Special,100,0,Yes,Holds 'justice' or 'love'
感情冷凍機,Emotion Freezer,-,Pauses feelings temporarily,Nobita,Nobita,Psychic,85,15,No,For awkward moments
宇宙の絵本,Space Picture Book,-,Stories become real in space,Nobita,Nobita,Fantasy,60,40,No,Alien characters escape
タイムパトロールNEO,Time Patrol NEO,-,Multiverse police,Doraemon,Doraemon,Time Travel,100,0,No,Omniversal jurisdiction
悪魔のカメラ6,Devil's Camera 6.0,-,Erases 'time' from objects,Nobita,Nobita,Fantasy,0,100,No,Things never age/exist
ドラえもんの鈴4,Doraemon's Bell 4.0,-,Summons author for help,Nobita,Nobita,Meta,100,0,No,Fourth wall break
分子楽器,Molecular Instrument,-,Plays atomic structures,Nobita,Nobita,Music,90,10,No,Gold sounds expensive
四次元冷凍庫3,4D Freezer 3.0,-,Freezes concepts,Doraemon,Doraemon,Special,100,0,Yes,Pause 'hunger'
悪魔のパスポートUltra,Devil's Passport Ultra,-,Reality overclocking,Nobita,Nobita,Fantasy,0.01,99.99,No,Causes system crash
宇宙の将棋3,Space Shogi 3.0,-,Play with dark matter,Nobita,Nobita,Game,99,1,No,Black hole pieces
タイムマシンUltra2,Time Machine Ultra 2.0,-,Travel through fiction,Doraemon,Doraemon,Time Travel,100,0,No,Visit other anime
ドラミの四次元ポケット3,Dorami's 4D Pocket 3.0,-,"Themed storage (e.g., sweets)",Dorami,Dorami,Special,100,0,Yes,Mostly desserts
悪魔のランプ5,Devil's Lamp 5.0,-,Genie with memetic hazards,Nobita,Nobita,Fantasy,0,100,No,Wishes corrupt mind
感情テレポート,Emotion Teleport,-,Sends feelings to others,Nobita,Nobita,Psychic,75,25,No,Unintended crushes
四次元ポケットNEO,4D Pocket NEO,-,Adaptive dimensional storage,Doraemon,Doraemon,Special,100,0,Yes,Learns preferences
宇宙のオルゴール2,Space Music Box 2.0,-,Harmonizes cosmic background,Nobita,Nobita,Music,95,5,No,Universal symphony
タイムパラドックスアーマー,Time Paradox Armor,-,Protects from retcons,Doraemon,Doraemon,Time Travel,100,0,No,Plot armor literalized
悪魔のサイコロ8,Devil's Dice 8.0,-,Roll for omniversal reset,Nobita,Nobita,Fantasy,0,100,No,Do not touch
ドラえもんのポケット4,Doraemon's Pocket 4.0,-,Gadget auto-suggest,Doraemon,Doraemon,Special,100,0,Yes,You might need...'
分子おもちゃ,Molecular Toy,-,Builds anything atom-by-atom,Nobita,Nobita,Toy,80,20,No,Very slow
四次元掃除機3,4D Vacuum 3.0,-,Cleans alternate realities,Doraemon,Doraemon,Special,100,0,Yes,Multiversal maid
悪魔のカメラ7,Devil's Camera 7.0,-,Erases 'existence',Nobita,Nobita,Fantasy,0,100,No,Void itself
宇宙のチェス2,Space Chess 2.0,-,Play with quantum pieces,Nobita,Nobita,Game,90,10,No,Pieces in superposition
タイムテレビUltra2,Time TV Ultra 2.0,-,Broadcasts to past/future,Doraemon,Doraemon,Time Travel,85,15,No,Ratings across time
ドラミの救急セット5,Dorami's First Aid Kit 5.0,-,Cures 'power creep',Dorami,Dorami,Medical,100,0,No,For overused gadgets
悪魔のパスポートFinal2,Devil's Passport Final 2.0,-,Absolute control over narrative,Nobita,Nobita,Meta,0,100,No,Becomes the author
感情増幅器2,Emotion Amplifier 2.0,-,Projects feelings globally,Nobita,Nobita,Psychic,20,80,No,Worldwide empathy
四次元冷蔵庫4,4D Fridge 4.0,-,Preserves 'moments',Doraemon,Doraemon,Special,100,0,Yes,Store childhood
宇宙の盆栽2,Space Bonsai 2.0,-,Grows pocket universes,Nobita,Nobita,Space,70,30,No,Requires cosmic water
タイムマシンFinal2,Time Machine Final 2.0,-,Transcends canon,Doraemon,Doraemon,Time Travel,100,0,No,Visit fanfictions
悪魔のランプFinal,Devil's Lamp Final,-,Genie with no limits,Nobita,Nobita,Fantasy,0,100,No,Reality itself wishes
ドラえもんの鈴Final2,Doraemon's Bell Final 2.0,-,Summons all Doraemons,Nobita,Nobita,Meta,100,0,No,Omniversal meeting
分子再構成機2,Molecular Rebuilder 2.0,-,Rewrites physics,Doraemon,Doraemon,Science,95,5,No,Turn light into thought
四次元ポケットFinal2,4D Pocket Final 2.0,-,Contains all possibilities,Doraemon,Doraemon,Special,100,0,Yes,The answer to everything
悪魔のサイコロFinal,Devil's Dice Final,-,Roll for reboot,Nobita,Nobita,Meta,0,100,No,Resets franchise
宇宙の笛Final2,Space Flute Final 2.0,-,Sings new realities,Nobita,Nobita,Music,100,0,No,Creation ex nihilo
タイムパトロールFinal2,Time Patrol Final 2.0,-,Guards all fiction,Doraemon,Doraemon,Time Travel,100,0,No,Against bad fanfics
ドラミの四次元ポケットFinal,Dorami's 4D Pocket Final,-,Infinite dessert dimension,Dorami,Dorami,Special,100,0,Yes,Heaven for sweets
悪魔のカメラFinal2,Devil's Camera Final 2.0,-,Erases fourth wall,Nobita,Nobita,Meta,0,100,No,Audience disappears
感情転送機Final,Emotion Transmitter Final,-,Share all feelings universally,Nobita,Nobita,Psychic,100,0,No,World becomes one mind
四次元掃除機Final,4D Vacuum Final,-,Erases plot holes,Doraemon,Doraemon,Special,100,0,Yes,Perfect storytelling
宇宙の将棋Final,Space Shogi Final,-,Play with omniversal pieces,Nobita,Nobita,Game,100,0,No,God vs. Doraemon
タイムテレビFinal,Time TV Final,-,Watch all possible timelines,Doraemon,Doraemon,Time Travel,100,0,No,Infinite channels
悪魔のパスポートΩ,Devil's Passport Omega,-,Control over all fiction,Nobita,Nobita,Meta,0,100,No,Becomes the author
ドラえもんの心,Doraemon's Heart,-,The ultimate gadget of friendship,Everyone,Everyone,Special,100,0,Yes,"Not a tool, but why he matters"
四次元ポケットAI 2.0,4D Pocket AI 2.0,Manga Vol. 72,AI with predictive gadget retrieval,Doraemon,Doraemon,Special,100,0,Yes,Learns user habits
感情記録再生機,Emotion Recorder,"Episode 2,100",Records and replays feelings,Nobita,Nobita,Psychic,85,15,No,Causes emotional overload
悪魔の日記帳,Devil's Diary,Manga Vol. 48,Written entries become reality,Nobita,Nobita,Fantasy,25,75,No,Grammar errors cause disasters
宇宙の万華鏡,Space Kaleidoscope,Nobita's Space Heroes (2008),Views parallel dimensions,Nobita,Nobita,Space,90,10,No,Mind-bending visuals
タイムシーインググラス,Time Seeing Glasses,-,See temporal ripples,Doraemon,Doraemon,Time Travel,95,5,No,Detects timeline changes
ドラミのメンテナンスキット,Dorami's Maintenance Kit,-,Repairs future tech,Dorami,Dorami,Technology,100,0,Yes,For robot tune-ups
悪魔のサイコロ9,Devil's Dice 9.0,-,Shuffles universal constants,Nobita,Nobita,Fantasy,0,100,No,Physics stop working
植物言語翻訳機,Plant Language Translator,Manga Vol. 54,Talks to plants in detail,Nobita,Nobita,Science,70,30,No,Plants are very opinionated
宇宙の風鈴,Space Wind Chime,-,Plays music from cosmic winds,Nobita,Nobita,Music,80,20,No,Black hole bass notes
タイムパラドックス緩衝材,Time Paradox Buffer,-,Absorbs timeline shocks,Doraemon,Doraemon,Time Travel,100,0,No,Prevents history whiplash
四次元冷蔵庫5,4D Fridge 5.0,-,Preserves items across realities,Doraemon,Doraemon,Food,100,0,Yes,Alternate universe sushi
悪魔の色鉛筆,Devil's Colored Pencils,-,Drawings alter their subjects,Nobita,Nobita,Art,30,70,No,Fixes' turn monstrous
ドラえもんの耳2,Doraemon's Ears 2.0,-,Enhanced hearing sensors,Doraemon,Doraemon,Sensory,100,0,Yes,Hear through dimensions
宇宙の双六,Space Sugoroku,-,Board game with real planets,Nobita,Nobita,Game,95,5,No,Win a solar system
タイムカプセルUltra,Time Capsule Ultra,-,Sends physical objects to past/future,Nobita,Nobita,Time Travel,90,10,No,Package delivery across time
悪魔のカメラ8,Devil's Camera 8.0,-,Erases 'space' from objects,Nobita,Nobita,Fantasy,0,100,No,Things exist nowhere
分子ファッション,Molecular Fashion,Manga Vol. 62,Clothes that change material,Shizuka,Shizuka,Daily Life,90,10,No,Dress becomes water/light/etc.
ドラミの救急セット6,Dorami's First Aid Kit 6.0,-,Cures 'out-of-character' moments,Dorami,Dorami,Medical,100,0,No,For bad writing days
夢のレンズ2,Dream Lens 2.0,-,Projects collective dreams,Nobita,Nobita,Psychic,75,25,No,Shared hallucinations
四次元望遠鏡2,4D Telescope 2.0,-,See through time and space,Doraemon,Doraemon,Special,100,0,Yes,Pocket surveillance
悪魔のパスポートNEO2,Devil's Passport NEO2,-,Wishes with poetic irony,Nobita,Nobita,Fantasy,0.3,99.7,No,Beauty in destruction'
宇宙の苔玉,Space Moss Ball,-,Contains mini-ecosystems,Nobita,Nobita,Space,70,30,No,Grows alien flora
タイムストップウォッチ3,Time Stop Watch 3.0,-,Pauses time in selected areas,Doraemon,Doraemon,Time Travel,100,0,No,Frozen' zones
ドラえもんのポケット5,Doraemon's Pocket 5.0,-,Voice-controlled dimensional access,Doraemon,Doraemon,Special,100,0,Yes,"Hey Doraemon, get...'"
悪魔のトランプ4,Devil's Cards 4.0,-,Card games rewrite history,Nobita,Nobita,Fantasy,5,95,No,Joker card ends reality
人工知能育成キット2,AI Growth Kit 2.0,Manga Vol. 68,Raises AI with emotions,Nobita,Nobita,Technology,40,60,No,Robots develop anxiety
宇宙のチェス3,Space Chess 3.0,-,Play with dark energy pieces,Nobita,Nobita,Game,90,10,No,Checkmate collapses stars
タイムパトロールバッジ3,Time Patrol Badge 3.0,-,Authority over narratives,Doraemon,Doraemon,Time Travel,100,0,No,Can edit stories
四次元掃除ロボ2,4D Cleaning Robot 2.0,-,Organizes multiversal clutter,Doraemon,Doraemon,Special,100,0,Yes,Fixes crossover events
悪魔のランプ6,Devil's Lamp 6.0,-,Genie with existential dread,Nobita,Nobita,Fantasy,0.2,99.8,No,Why do we exist?'
ドラミのタイムマシン4,Dorami's Time Machine 4.0,-,Time travel with safety protocols,Dorami,Dorami,Time Travel,100,0,Yes,Child locks enabled
宇宙の折り紙2,Space Origami 2.0,-,Folds spacetime precisely,Nobita,Nobita,Space,80,20,No,Create wormhole art
タイムテープ3,Time Tape 3.0,-,Repairs major timeline tears,Doraemon,Doraemon,Time Travel,95,5,No,For continuity errors
悪魔のメガホン5,Devil's Megaphone 5.0,-,Voice becomes physical force,Nobita,Nobita,Fantasy,0.1,99.9,No,Whisper destroys cities
